"","x","y","z","w"
"1",1187.41666666667,1188.41666666667,1189.41666666667,1190.41666666667
"2",1089.96527777778,1090.96527777778,1091.96527777778,1092.96527777778
"3",1090.04861111111,1091.04861111111,1092.04861111111,1093.04861111111
"4",1090.13194444444,1091.13194444444,1092.13194444444,1093.13194444444
"5",1090.21527777778,1091.21527777778,1092.21527777778,1093.21527777778
"6",1090.29861111111,1091.29861111111,1092.29861111111,1093.29861111111
"7",1090.38194444444,1091.38194444444,1092.38194444444,1093.38194444444
"8",1032.08622685185,1033.08622685185,1034.08622685185,1035.08622685185
"9",1028.82325424383,1029.82325424383,1030.82325424383,1031.82325424383
"10",1029.10211307227,1030.10211307227,1031.10211307227,1032.10211307227
"11",1029.08581928101,1030.08581928101,1031.08581928101,1032.08581928101
"12",1029.0941215414,1030.0941215414,1031.0941215414,1032.0941215414
"13",1029.10037413081,1030.10037413081,1031.10037413081,1032.10037413081
"14",1029.10679752614,1030.10679752614,1031.10679752614,1032.10679752614
"15",1024.24828577714,1025.24828577714,1026.24828577714,1027.24828577714
